Sl. No,State,District,block,Condition 2024
302,Uttar Pradesh,Fatehpur,Malawan,Safe
303,Uttar Pradesh,Fatehpur,Telyani,Semi_Critical
304,Uttar Pradesh,Fatehpur,Vijayipur,Safe
305,Uttar Pradesh,Firozabad,Aron,Critical
306,Uttar Pradesh,Firozabad,Eka,Semi_Critical
307,Uttar Pradesh,Firozabad,Firozabad,Over_Exploited
308,Uttar Pradesh,Firozabad,Khairgarh(Hathwant),Over_Exploited
309,Uttar Pradesh,Firozabad,Jasrana,Semi_Critical
310,Uttar Pradesh,Firozabad,Madanpur,Semi_Critical
311,Uttar Pradesh,Firozabad,Narkhi,Over_Exploited
312,Uttar Pradesh,Firozabad,Shikohabad,Over_Exploited
313,Uttar Pradesh,Firozabad,Tundla,Over_Exploited
314,Uttar Pradesh,G.B.Nagar,Bisrakh,Over_Exploited
315,Uttar Pradesh,G.B.Nagar,Dadri,Semi_Critical
316,Uttar Pradesh,G.B.Nagar,Jewar,Critical
317,Uttar Pradesh,Ghaziabad,Bhojpur,Over_Exploited
318,Uttar Pradesh,Ghaziabad,Loni,Over_Exploited
319,Uttar Pradesh,Ghaziabad,Muradnagar,Semi_Critical
320,Uttar Pradesh,Ghaziabad,Razapur,Over_Exploited
321,Uttar Pradesh,Ghaziabad,Gaziabad City,Over_Exploited
322,Uttar Pradesh,Ghazipur,Bhadaura,Safe
323,Uttar Pradesh,Ghazipur,Bhanwarkol,Safe
324,Uttar Pradesh,Ghazipur,Birno,Safe
325,Uttar Pradesh,Ghazipur,Deokali,Safe
326,Uttar Pradesh,Ghazipur,Ghazipur,Safe
327,Uttar Pradesh,Ghazipur,Jakhania,Safe
328,Uttar Pradesh,Ghazipur,Karanda,Safe
329,Uttar Pradesh,Ghazipur,Kasimabad,Safe
330,Uttar Pradesh,Ghazipur,Manihari,Safe
331,Uttar Pradesh,Ghazipur,Maradh,Safe
332,Uttar Pradesh,Ghazipur,Mohammadabad,Safe
333,Uttar Pradesh,Ghazipur,Revatipur,Safe
334,Uttar Pradesh,Ghazipur,Sadat,Safe
335,Uttar Pradesh,Ghazipur,Saidpur,Semi_Critical
336,Uttar Pradesh,Ghazipur,Varachakwar,Safe
337,Uttar Pradesh,Ghazipur,Zamania,Safe
338,Uttar Pradesh,Gonda,Babhanjot,Safe
339,Uttar Pradesh,Gonda,Belsar,Safe
340,Uttar Pradesh,Gonda,Chhapia,Safe
341,Uttar Pradesh,Gonda,Colonelganj,Safe
342,Uttar Pradesh,Gonda,Haldharmau,Safe
343,Uttar Pradesh,Gonda,Itia Thok,Safe
344,Uttar Pradesh,Gonda,Jhanjhri,Safe
